/home/projects/nyosef/eitangr/miniconda3/envs/pixelgen-scvi/lib/python3.10/site-packages/anndata/utils.py:429: FutureWarning: Importing read_elem from `anndata.experimental` is deprecated. Import anndata.io.read_elem instead.
  warnings.warn(msg, FutureWarning)
2025-06-24 16:44:03,997 - Calc 348
2025-06-24 16:44:04,021 - Calc 349
2025-06-24 16:44:04,082 - Calc 350
2025-06-24 16:44:04,095 - Calc 351
2025-06-24 16:44:04,197 - Calc 352
2025-06-24 16:44:04,302 - Calc 353
2025-06-24 16:44:04,383 - Calc 354
2025-06-24 16:44:04,483 - Calc 355
2025-06-24 16:44:04,546 - Calc 356
2025-06-24 16:44:04,615 - Calc 357
2025-06-24 16:44:04,632 - Calc 358
2025-06-24 16:44:04,800 - Calc 359
2025-06-24 16:44:04,870 - Calc 360
2025-06-24 16:44:04,912 - Calc 361
2025-06-24 16:44:04,917 - Calc 362
2025-06-24 16:44:04,993 - Calc 363
2025-06-24 16:44:05,116 - Calc 364
2025-06-24 16:44:05,119 - Calc 365
2025-06-24 16:44:05,212 - Calc 366
2025-06-24 16:44:05,267 - Calc 367
2025-06-24 16:44:05,290 - Calc 368
2025-06-24 16:44:05,325 - Calc 369
2025-06-24 16:44:05,376 - Calc 370
2025-06-24 16:44:05,420 - Calc 371
2025-06-24 16:44:05,437 - Calc 372
2025-06-24 16:44:05,623 - Calc 373
2025-06-24 16:44:05,665 - Calc 374
2025-06-24 16:44:05,713 - Calc 375
2025-06-24 16:44:05,748 - Calc 376
2025-06-24 16:44:05,783 - Calc 377
2025-06-24 16:44:05,959 - Calc 378
2025-06-24 16:44:06,066 - Calc 379
2025-06-24 16:44:06,068 - Calc 380
2025-06-24 16:44:06,122 - Calc 381
2025-06-24 16:44:06,180 - Calc 382
2025-06-24 16:44:06,327 - Calc 383
2025-06-24 16:44:06,330 - Calc 384
2025-06-24 16:44:06,344 - Calc 385
2025-06-24 16:44:06,373 - Calc 386
2025-06-24 16:44:06,618 - Calc 387
2025-06-24 16:44:06,651 - Calc 388
2025-06-24 16:44:06,686 - Calc 389
2025-06-24 16:44:06,708 - Calc 390
2025-06-24 16:44:06,735 - Calc 391
2025-06-24 16:44:06,922 - Calc 392
2025-06-24 16:44:06,942 - Calc 393
2025-06-24 16:44:07,008 - Calc 394
2025-06-24 16:44:07,078 - Calc 395
2025-06-24 16:44:07,089 - Calc 396
2025-06-24 16:44:07,126 - Calc 397
2025-06-24 16:44:07,187 - Calc 398
2025-06-24 16:44:07,212 - Calc 399
2025-06-24 16:44:07,341 - Calc 400
2025-06-24 16:44:07,401 - Calc 401
2025-06-24 16:44:07,449 - Calc 402
2025-06-24 16:44:07,472 - Calc 403
2025-06-24 16:44:07,567 - Calc 404
2025-06-24 16:44:07,646 - Calc 405
2025-06-24 16:44:07,732 - Calc 406
2025-06-24 16:44:07,757 - Calc 407
2025-06-24 16:44:07,768 - Calc 408
2025-06-24 16:44:07,781 - Calc 409
2025-06-24 16:44:07,863 - Calc 410
2025-06-24 16:44:07,972 - Calc 411
2025-06-24 16:44:08,013 - Calc 412
2025-06-24 16:44:08,015 - Calc 413
2025-06-24 16:44:08,194 - Calc 414
2025-06-24 16:44:08,216 - Calc 415
2025-06-24 16:44:08,291 - Calc 416
2025-06-24 16:44:08,332 - Calc 417
2025-06-24 16:44:08,334 - Calc 418
2025-06-24 16:44:08,448 - Calc 419
2025-06-24 16:44:08,454 - Calc 420
2025-06-24 16:44:08,482 - Calc 421
2025-06-24 16:44:08,520 - Calc 422
2025-06-24 16:44:08,679 - Calc 423
2025-06-24 16:44:08,703 - Calc 424
2025-06-24 16:44:08,806 - Calc 425
2025-06-24 16:44:08,822 - Calc 426
2025-06-24 16:44:08,892 - Calc 427
2025-06-24 16:44:08,972 - Calc 428
2025-06-24 16:44:08,986 - Calc 429
2025-06-24 16:44:09,023 - Calc 430
2025-06-24 16:44:09,040 - Calc 431
2025-06-24 16:44:09,055 - Calc 432
2025-06-24 16:44:09,069 - Calc 433
2025-06-24 16:44:09,143 - Calc 434
2025-06-24 16:44:09,240 - Calc 435
